league,team,Team,City,Stadium, Capacity ,Latitude,Longitude,Country,geometry
Premier,Middlesbrough,Middlesbrough ,Middlesbrough ,Riverside Stadium ,34988,54.5783,-1.2169,England,POINT (-1.2169 54.5783)
Premier,Everton,Everton ,Liverpool ,Goodison Park ,40157,53.4389,-2.9664,England,POINT (-2.9664 53.4389)
Premier,Fulham,Fulham ,London ,Craven Cottage ,25700,51.475,-0.2217,England,POINT (-0.2217 51.475)
Premier,Man City,Manchester City ,Manchester ,Etihad Stadium,47405,53.483,-2.2003,England,POINT (-2.2003 53.483)
Premier,Portsmouth,Portsmouth ,Portsmouth ,Fratton Park ,20224,50.7964,-1.0639,England,POINT (-1.0639 50.7964)
Premier,Sunderland,Sunderland ,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882,England,POINT (-1.3882 54.9144)
Premier,West Ham,West Ham United ,London ,Boleyn Ground ,35303,51.5319,0.0394,England,POINT (0.0394 51.5319)
Premier,Aston Villa,Aston Villa ,Birmingham ,Villa Park ,42785,52.5092,-1.8847,England,POINT (-1.8847 52.5092)
Premier,Arsenal,Arsenal ,London ,Emirates Stadium ,60361,51.555,-0.1086,England,POINT (-0.1086 51.555)
Premier,Wigan,Wigan Athletic ,Wigan ,DW Stadium ,25133,53.5478,-2.6539,England,POINT (-2.6539 53.5478)
Premier,Newcastle,Newcastle United ,Newcastle upon Tyne ,Sports Direct Arena,52409,54.9756,-1.6217,England,POINT (-1.6217 54.9756)
Premier,Birmingham,Birmingham City ,Birmingham ,St Andrew's Stadium ,30079,52.4757,-1.8682,England,POINT (-1.8682 52.4757)
Premier,Blackburn,Blackburn Rovers ,Blackburn ,Ewood Park ,31154,53.7286,-2.4892,England,POINT (-2.4892 53.7286)
Premier,Charlton,Charlton Athletic,Greenwich,The Valley ,27111,51.4864,0.0364,England,POINT (0.0364 51.4864)
Premier,Liverpool,Liverpool ,Liverpool ,Anfield ,45276,53.4308,-2.9608,England,POINT (-2.9608 53.4308)
